,AreaName,AvgPrice,Latitude,Longitude,PinCode,District
296,Rajpur,4232.22,28.49442,77.190688,110068,South District
297,Shakarpur,6250,28.626964,77.279287,110092,East District
298,Mandi,4636.84,28.454097,77.146367,110047,South District
299,Sector 26 Dwarka,5243.94,28.545199,77.055081,110077,South West District
300,Mansarover Garden,1000,28.642099,77.133346,110015,West District
301,Shakti Nagar,22370.68,28.67965,77.195243,110007,Central District
302,Som Vihar,28333.33,28.571889,77.175111,110022,New Delhi District
303,Devli Export Enclave,3973.46,28.503704,77.23216,110062,South District
304,Hastsal,5833.33,28.636429,77.060879,110059,West District
305,Rajapuri East Uttam Nagar,4509.8,28.618535,77.056782,110059,West District
306,Rajinder Nagar,22222.22,28.703218,77.287433,110094,North East District
307,Sector 23,8605.71,28.719668,77.081978,110085,North West District
308,Sector-B Vasant Kunj,16824.4,28.522471,77.164599,110070,South District
309,Sultanpur,4761.54,28.48498,77.160476,110030,South District
310,Tri Nagar,11870.38,28.678393,77.156999,110035,North West District
311,Deoli Gaon Nai Basti,317.63,28.505528,77.234013,110062,South District
312,Gulmohar Enclave,21808.71,28.558254,77.210392,110049,South District
313,Kalkaji Govindpuri,9322.92,28.535546,77.264039,110019,South East Delhi District
314,Khera Khurd,9125,28.773865,77.099991,110082,North District
315,Manglapuri,9453.97,28.588744,77.087511,110045,South West District
316,Panchsheel Vihar,4814.81,28.534383,77.222077,110017,South District
317,Sector 19B,15555.34,28.667179,77.101017,110063,West District
318,Sector 29 Dwarka,4528.44,28.57616,77.050916,110075,South West District
319,Sector 9 Rohini,22768.67,28.717325,77.127455,110085,North District
320,Shahpur Jat,7333.33,28.549127,77.210407,110049,South District
321,Bakkarwala,7500,28.659125,77.016713,110041,West District
322,Bank Colony,3160.49,28.70331,77.311683,110093,Shahdara District
323,Kotla Mubarakpur,19978.63,28.573136,77.223323,110003,South East Delhi District
324,Malka Ganj,77564.1,28.675838,77.205485,110007,Central District
325,Razapur Khurd,4540.28,28.638323,77.029816,110059,West District
326,Vasant Kunj Marg,15449.02,28.51498,77.153245,110070,South District
327,Vivek Vihar,11733.09,28.67147,77.302295,110095,Shahdara District
328,Bank Colony Deoli,2888.89,28.500987,77.224467,110062,South District
329,Bhagwati Garden,4670,28.621219,77.033078,110059,West District
330,Gharoli,10487.18,28.620359,77.334202,110096,East District
