,AreaName,AvgPrice
79,i p extension patparganj,15136.3
80,jasola,11324.78
81,shanti niketan,26136.36
82,west punjabi bagh,13890.39
83,maharani bagh,115.23
84,karol bagh,15655.69
85,sector 24 dwarka,4668.88
86,kota house entrance,15287.42
87,sector 3 dwarka,17749.69
88,delhi,21620.23
89,vishwas park,4464.29
90,jangpura extension,13888.89
91,sector 14 dwarka,12569.07
92,lajpat nagar,10288.53
93,south extension 2,25000
94,nizamuddin,1109.05
95,sector 18b dwarka,43904.58
96,chittaranjan park,20944.52
97,dwarka more mohan garden,10589.84
98,mayur vihar i,11284.72
99,tagore garden,13248.88
100,sector 9 dwarka,13763.46
101,l zone dwarka phase 2 delhi,4400
102,preet vihar,35433.03
103,najafgarh,3513.23
104,chattarpur enclave phase 2,8306.16
105,guru ram das nagar,7777.78
106,mansa ram park,4907.94
107,ramesh nagar,6542.06
108,nawada uttam nagar,6177.99
109,sector-8 dwarka,7914
110,jamia nagar,16273.36
111,kailash colony,9800
112,sector 2 dwarka,13666.13
113,khirki extension,6245.41
114,sangam vihar,5974.82
115,dwarka phase 2,6403.8
116,ghitorni,5510.91
117,safdarjung development area,9554.6
118,munirka,15383.25
119,krishan kunj,4000
120,param puri,4600
121,krishna nagar,7919.11
122,sukhdev vihar,16114.22
123,lajpat nagar iii,5786.62
124,tilak nagar,7827.27
125,dwarka sector 12,1282.67
126,uttam nagar nanhey park,4394.34
127,vasundhara enclave,12548.67
128,sector-7 rohini,12545.45
129,lajpat nagar ii,22222.22
130,poorvi pitampura,11505.54
131,mayur vihar,19909.45
132,duggal colony,434.19
133,vikas puri,12997.71
134,jawahar park,3780.69
135,sector-18 dwarka,11428.96
136,vikaspuri,15251.96
137,hauz khas enclave,22413.79
138,south delhi,7477.94
139,uttam nagar east,5158.16
140,south extension,34953.84
141,sector22 rohini,17952.04
142,lajpat nagar iv,15176.97
143,patparganj,15415.62
144,govindpuri,6550.4
145,sector 17 dwarka,10957.27
146,rama park,5778.19
147,anand lok,49979.18
148,ignou road,3737.78
149,uttam nagar subhash park extn,4897.96
150,palam,9957.71
151,okhla,8486.43
152,ganesh nagar,6273.84
153,safdarjung,24461.76
154,mayur vihar phase 3,10990
155,kiran garden,4888.89
156,tagore garden extension,8149.27
157,matiala,4941.14
158,priyadarshini vihar,5849.97
159,moti nagar,17929.32
160,gagan vihar,976.27
161,deoli khanpur,5967.32
162,sector 13 rohini,20278.48
163,greater kailash enclave ii,103591.16
164,rohini sector 9,21925.72
165,vishnu garden,2888.89
166,d block vikaspuri,12357.14
167,nanhey park new delhi,6428.57
168,sector 11 rohini,12541.67
169,shalimar bagh,11360.16
170,bindapur,6574.19
171,uttari pitampura,12848.58
172,gautam nagar,11820.33
173,mahipalpur,540.75
174,sewak park,9156.31
175,d block lane,1215.52
176,jain colony,4809.52
177,sector 25 rohini,7856.87
178,shastri nagar,11133.19
179,anand vihar,12941.36
180,dwarka sector 13,1050.66
181,jagdamba vihar,31424.9
182,dilshad garden,1271.95
183,dwarka road,10771.6
184,tughlakabad,3228.4
185,aya nagar,554.69
186,new rajendra nagar,931.82
187,sector 3 rohini,13571.43
188,sector-24 rohini,10818.45
189,rajouri garden,11552.01
190,dwarka sector 19,10119.48
191,kailash hills,129.26
192,ashok vihar,9726.4
193,bamnoli dwarka sector 28,599.21
194,dwarka sector3,12407.7
195,matiala extension,4706.67
196,alaknanda,16648.1
197,lalita park foot over bridge,63.58
198,sainik nagar mansa ram park,4888.89
199,mayur vihar phase 2,10768.05
200,chhattarpur enclave phase1,4351.47
201,dlf ankur vihar,6451.85
202,sector 1 dwarka,10330.81
203,sector-d vasant kunj,16101.29
204,civil lines,17656.97
205,kaushambi,7661.32
206,tigri,12698.25
207,sector 12 dwarka new delhi,10770.12
208,sector 4,13884.31
209,south ex,20631.31
210,model town,13747.54
211,dwarka 11 sector,10999.26
212,govind puri,11886.11
213,rohini sector 16,14209.67
214,rohini sector 5,5833.33
215,uttam nagar vani vihar,4375
216,devli,9862.5
217,paryavaran complex main,4250.28
218,bamnoli sector 28 dwarka,5172.84
219,nangloi,774.83
